nrow,ncol,intensity
0,0,0.0199999996
0,1,0.0199999996
0,2,0.0199999996
0,3,0.0199999996
0,4,0.0199999996
0,5,0.0199999996
0,6,0.0199999996
0,7,0.0199999996
0,8,0.0199999996
0,9,0.0199999996
0,10,0.0199999996
0,11,0.0199999996
0,12,0.0199999996
0,13,0.0199999996
0,14,0.0000000000
0,15,0.0000000000
0,16,0.0000000000
0,17,0.0000000000
0,18,0.0000000000
0,19,0.0000000000
0,20,0.0000000000
0,21,0.0000000000
0,22,0.0000000000
0,23,0.0000000000
0,24,0.0000000000
0,25,0.0038344427
0,26,0.0049441624
0,27,0.0299999993
0,28,0.0300000012
0,29,0.0299999993
0,30,0.0299999993
0,31,0.0299999993
0,32,0.0300000012
0,33,0.0299999993
0,34,0.0299999993
0,35,0.0299999993
0,36,0.0299999993
0,37,0.0299999993
0,38,0.0299999993
0,39,0.0099999998
1,0,0.0199999996
1,1,0.0199999996
1,2,0.0200000014
1,3,0.0199999996
1,4,0.0169562101
1,5,0.0199999996
1,6,0.0199999996
1,7,0.0199999996
1,8,0.0200000014
1,9,0.0199999996
1,10,0.0200000014
1,11,0.0199999996
1,12,0.0200000014
1,13,0.0199999996
1,14,0.0123560652
1,15,0.0000000000
1,16,0.0000000000
1,17,0.0000000000
1,18,0.0000000000
1,19,0.0000000000
1,20,0.0000000000
1,21,0.0000000000
1,22,0.0000000000
1,23,0.0000000000
1,24,0.0000000000
1,25,0.0046446272
1,26,0.0059356308
1,27,0.0074796234
1,28,0.0299999993
1,29,0.0299999993
1,30,0.0299999993
1,31,0.0299999993
1,32,0.0299999993
1,33,0.0299999993
1,34,0.0299999993
1,35,0.0299999993
1,36,0.0300000012
1,37,0.0099999998
1,38,0.0100000007
1,39,0.0099999998
2,0,0.0199999996
2,1,0.0200000014
2,2,0.0149999997
2,3,0.0100000007
2,4,0.0130437911
2,5,0.0149999997
2,6,0.0169562083
2,7,0.0200000014
2,8,0.0199999996
2,9,0.0199999996
2,10,0.0199999996
2,11,0.0199999996
2,12,0.0199999996
2,13,0.0199999996
2,14,0.0199999996
2,15,0.0000000000
2,16,0.0000000000
2,17,0.0000000000
2,18,0.0000000000
2,19,0.0000000000
2,20,0.0000000000
2,21,0.0000000000
2,22,0.0000000000
2,23,0.0000000000
2,24,0.0043600802
2,25,0.0055894298
2,26,0.0070698233
2,27,0.0088009443
2,28,0.0299999993
2,29,0.0299999993
2,30,0.0300000012
2,31,0.0299999993
2,32,0.0299999993
2,33,0.0300000012
2,34,0.0299999993
2,35,0.0300000012
2,36,0.0257838164
2,37,0.0100000007
2,38,0.0099999998
2,39,0.0099999998
3,0,0.0199999996
3,1,0.0162559245
3,2,0.0100000007
3,3,0.0099999998
3,4,0.0099999998
3,5,0.0099999998
3,6,0.0130437911
3,7,0.0199999996
3,8,0.0199999996
3,9,0.0199999996
3,10,0.0199999996
3,11,0.0199999996
3,12,0.0199999996
3,13,0.0199999996
3,14,0.0199999996
3,15,0.0066666664
3,16,0.0000000000
3,17,0.0000000000
3,18,0.0000000000
3,19,0.0000000000
3,20,0.0000000000
3,21,0.0000000000
3,22,0.0000000000
3,23,0.0000000000
3,24,0.0052590077
3,25,0.0066758203
3,26,0.0083455788
3,27,0.0102494508
3,28,0.0123401433
3,29,0.0145432735
3,30,0.0299999993
3,31,0.0299999993
3,32,0.0300000012
3,33,0.0299999993
3,34,0.0252751149
3,35,0.0235108584
3,36,0.0099999998
3,37,0.0099999998
3,38,0.0099999998
3,39,0.0099999998
4,0,0.0137440739
4,1,0.0099999998
4,2,0.0099999998
4,3,0.0099999998
4,4,0.0099999998
4,5,0.0099999998
4,6,0.0099999998
4,7,0.0099999998
4,8,0.0199999996
4,9,0.0199999996
4,10,0.0199999996
4,11,0.0199999996
4,12,0.0199999996
4,13,0.0199999996
4,14,0.0199999996
4,15,0.0199999996
4,16,0.0000000000
4,17,0.0000000000
4,18,0.0000000000
4,19,0.0000000000
4,20,0.0000000000
4,21,0.0000000000
4,22,0.0000000000
4,23,0.0049441620
4,24,0.0062977429
4,25,0.0079049878
4,26,0.0097536212
4,27,0.0118036186
4,28,0.0139868250
4,29,0.0162140243
4,30,0.0183886141
4,31,0.0299999993
4,32,0.0299999993
