nrow,ncol,intensity
0,0,0.000000
0,1,0.000000
0,2,0.001000
0,3,0.007918
0,4,0.007908
0,5,0.004908
0,6,0.000000
0,7,0.000000
0,8,0.000000
0,9,0.000000
0,10,0.000000
0,11,0.000000
0,12,0.000000
0,13,0.006771
0,14,0.012825
0,15,0.003027
0,16,0.000000
0,17,0.000000
0,18,0.000000
0,19,0.000000
0,20,0.000000
0,21,0.000000
0,22,0.000000
0,23,0.000000
0,24,0.003792
0,25,0.005228
0,26,0.013413
0,27,0.032039
0,28,0.010071
0,29,0.000000
0,30,0.000000
0,31,0.000000
0,32,0.000000
0,33,0.000000
0,34,0.000000
0,35,0.000000
0,36,0.007483
0,37,0.014967
0,38,0.029933
0,39,0.012472
1,0,0.000000
1,1,0.004419
1,2,0.013883
1,3,0.022739
1,4,0.026409
1,5,0.018184
1,6,0.008106
1,7,0.003067
1,8,0.000000
1,9,0.000000
1,10,0.000000
1,11,0.000000
1,12,0.000000
1,13,0.004232
1,14,0.012247
1,15,0.004953
1,16,0.000000
1,17,0.000000
1,18,0.000000
1,19,0.000000
1,20,0.000000
1,21,0.000000
1,22,0.000000
1,23,0.001219
1,24,0.005151
1,25,0.004289
1,26,0.009598
1,27,0.026803
1,28,0.012220
1,29,0.000000
1,30,0.000000
1,31,0.000000
1,32,0.000000
1,33,0.000000
1,34,0.000000
1,35,0.000986
1,36,0.010340
1,37,0.022399
1,38,0.009354
1,39,0.007483
2,0,0.005295
2,1,0.016568
2,2,0.032046
2,3,0.032175
2,4,0.030967
2,5,0.028041
2,6,0.028262
2,7,0.010078
2,8,0.000000
2,9,0.000000
2,10,0.000000
2,11,0.000000
2,12,0.000000
2,13,0.001170
2,14,0.009335
2,15,0.009036
2,16,0.001021
2,17,0.000000
2,18,0.000000
2,19,0.000000
2,20,0.000000
2,21,0.000000
2,22,0.000000
2,23,0.002689
2,24,0.006196
2,25,0.003847
2,26,0.003362
2,27,0.015026
2,28,0.026997
2,29,0.009256
2,30,0.004320
2,31,0.000000
