nrow,ncol,intensity
0,0,0.000000
0,1,0.000000
0,2,0.000000
0,3,0.325942
0,4,0.560246
0,5,0.250084
0,6,0.170367
0,7,0.161747
0,8,0.249453
0,9,0.197811
0,10,0.064156
0,11,0.034977
0,12,0.246564
0,13,0.360995
0,14,0.297005
0,15,0.092761
0,16,0.030668
0,17,0.092761
0,18,0.234623
0,19,0.444577
0,20,0.292573
0,21,0.174094
0,22,0.119227
0,23,0.087076
0,24,0.086360
0,25,0.102301
0,26,0.121960
0,27,0.109954
0,28,0.190612
0,29,0.160629
0,30,0.000000
0,31,0.090985
0,32,0.188322
0,33,0.303746
0,34,0.212761
0,35,0.282567
0,36,0.668571
0,37,0.334286
0,38,0.000000
0,39,0.000000
0,40,0.166234
0,41,0.498701
0,42,0.609523
0,43,0.387878
0,44,0.332467
0,45,0.332467
0,46,0.221645
0,47,0.110822
0,48,0.000000
0,49,0.000000
1,0,0.000000
1,1,0.000000
1,2,0.078704
1,3,0.329471
1,4,0.380883
1,5,0.269394
1,6,0.301253
1,7,0.241288
1,8,0.177581
1,9,0.079217
1,10,0.086940
1,11,0.074908
1,12,0.191295
1,13,0.438152
1,14,0.192843
1,15,0.027799
1,16,0.026489
1,17,0.027799
1,18,0.145475
1,19,0.225817
1,20,0.320843
1,21,0.175124
1,22,0.106252
1,23,0.017893
1,24,0.028003
1,25,0.050623
1,26,0.108182
1,27,0.206986
1,28,0.306114
1,29,0.332689
1,30,0.240952
1,31,0.334615
1,32,0.441613
1,33,0.365447
1,34,0.492257
1,35,0.822163
1,36,0.439750
1,37,0.140233
1,38,0.000000
1,39,0.000000
1,40,0.000000
1,41,0.177316
1,42,0.398961
1,43,0.398961
1,44,0.310303
1,45,0.354632
1,46,0.531947
1,47,0.265974
1,48,0.088658
1,49,0.000000
2,0,0.000000
2,1,0.000000
2,2,0.157409
2,3,0.393522
2,4,0.350518
2,5,0.293751
2,6,0.319742
2,7,0.266013
2,8,0.169452
2,9,0.071686
2,10,0.099635
2,11,0.287210
